,Month,Total Subway Ridership 2020,Total Subway Ridership 2021,Total Subway Ridership 2022,Total Subway Ridership 2023
0,Jan,73625223,41101382,63734924,88999287
1,Feb,11730474,39143573,70181466,84299462
2,Mar,15275851,50749540,87293930,101030692
3,Apr,23928304,53261980,83273427,94198922
4,May,32508961,58435642,87695742,104435152
5,June,35197734,65443761,87977903,97457013
6,July,42790545,66940159,80514845,90797995
7,Aug,47947097,66406432,82948894,93997299
8,Sept,43624401,73782781,91019574,95330225
9,Oct,43468179,83447127,95120931,104296170
10,Nov,0,82348431,90905300,98487231
11,Dec,0,78749438,91838943,72105301
